Time,IV_5,IV_10,IV_30
200708,0.050861,0.060842,0.074597
200709,0.043829,0.057317,0.081149
200710,0.040227,0.053953,0.079601
200711,0.060641,0.07629,0.10496
200712,0.060454,0.081024,0.11667
200801,0.064395,0.089212,0.12985
200802,0.070136,0.096409,0.14348
200803,0.066088,0.090702,0.1317
200804,0.055989,0.075114,0.10947
200805,0.063506,0.083212,0.11368
200806,0.063331,0.077271,0.09054
200807,0.061693,0.077449,0.099153
200808,0.057033,0.075791,0.0946
200809,0.090052,0.12002,0.15918
200810,0.069849,0.10964,0.16387
200811,0.077946,0.11909,0.22533
200812,0.072989,0.12813,0.20254
200901,0.061956,0.11281,0.2175
200902,0.063284,0.11494,0.22096
200903,0.04467,0.080686,0.1474
200904,0.051324,0.085682,0.15666
200905,0.060114,0.1055,0.18584
200906,0.06462,0.10139,0.15759
200907,0.06392,0.094772,0.14321
200908,0.051594,0.081931,0.13224
200909,0.049998,0.076888,0.13015
200910,0.049392,0.073541,0.12853
200911,0.037706,0.060446,0.10751
200912,0.048957,0.068863,0.11174
201001,0.04035,0.058637,0.10227
201002,0.038818,0.058003,0.091315
201003,0.04019,0.061081,0.090484
201004,0.041188,0.060073,0.089688
201005,0.048939,0.083481,0.13505
201006,0.042299,0.070437,0.11591
201007,0.035538,0.059642,0.1077
201008,0.041146,0.073752,0.15116
201009,0.03511,0.066412,0.12991
201010,0.035549,0.070273,0.13678
201011,0.051603,0.080267,0.1324
201012,0.053449,0.083696,0.12706
201101,0.047786,0.080036,0.12898
201102,0.047025,0.073656,0.11494
201103,0.048015,0.069085,0.10266
201104,0.039679,0.05673,0.095388
201105,0.037386,0.058295,0.098409
201106,0.049231,0.072897,0.10733
201107,0.054887,0.061514,0.10744
201108,0.023406,0.062447,0.13857
201109,0.030993,0.069051,0.15139
201110,0.0364,0.080082,0.15952
201111,0.0323,0.075556,0.15516
201112,0.023447,0.056341,0.12877
201201,0.020198,0.051462,0.12097
201202,0.024633,0.054145,0.10762
201203,0.028718,0.056109,0.10377
201204,0.022299,0.047031,0.089514
201205,0.023726,0.05648,0.12242
201206,0.019538,0.048413,0.10164
201207,0.024043,0.048274,0.1071
201208,0.021435,0.04732,0.10166
201209,0.015269,0.043043,0.10061
201210,0.023269,0.050982,0.1068
201211,0.014946,0.037953,0.082091
201212,0.017635,0.043612,0.091347
201301,0.024627,0.047954,0.093295
201302,0.01857,0.042282,0.085129
201303,0.01801,0.039377,0.078117
201304,0.014833,0.036302,0.07803
201305,0.03228,0.057117,0.10055
201306,0.04122,0.068489,0.1055
201307,0.021521,0.046356,0.077523
201308,0.032123,0.060224,0.09018
201309,0.034296,0.063383,0.10359
201310,0.024533,0.049038,0.08038
201311,0.027005,0.054034,0.088404
201312,0.03083,0.04954,0.081489
201401,0.032474,0.05185,0.07524
201402,0.02909,0.046969,0.074182
201403,0.033194,0.048938,0.077287
201404,0.031168,0.047294,0.08054
201405,0.030994,0.049219,0.078225
201406,0.026836,0.041863,0.069839
201407,0.028376,0.044919,0.078406
201408,0.029616,0.046962,0.080113
201409,0.028973,0.046473,0.080962
201410,0.031958,0.049389,0.081994
201411,0.030912,0.047824,0.076138
201412,0.031825,0.049028,0.080258
201501,0.038438,0.060924,0.11485
201502,0.039375,0.059583,0.12424
201503,0.036172,0.05632,0.12241
201504,0.032308,0.050783,0.11926
201505,0.034503,0.055719,0.12533
201506,0.037344,0.063766,0.14169
201507,0.025601,0.04424,0.096883
201508,0.030372,0.04749,0.10922
201509,0.031992,0.052394,0.11965
201510,0.033456,0.050037,0.10661
201511,0.033346,0.048283,0.097597
201512,0.030845,0.046511,0.097624
201601,0.033108,0.052989,0.11105
201602,0.035619,0.05375,0.11392
201603,0.029186,0.046327,0.098624
201604,0.030963,0.048873,0.10178
201605,0.033066,0.049005,0.096035
201606,0.030701,0.050447,0.11103
201607,0.028676,0.046594,0.10181
201608,0.031531,0.047588,0.099378
201609,0.025959,0.042634,0.10059
201610,0.028618,0.04659,0.10616
201611,0.038615,0.062815,0.12178
201612,0.031754,0.05037,0.10307
201701,0.034832,0.054216,0.10344
201702,0.033966,0.051125,0.097421
201703,0.028459,0.04342,0.08544
201704,0.028734,0.043924,0.084418
201705,0.027858,0.042524,0.078895
201706,0.026054,0.042523,0.081126
201707,0.017818,0.033482,0.066279
201708,0.017953,0.033701,0.058458
201709,0.023649,0.038985,0.074195
201710,0.023369,0.038866,0.07643
201711,0.021653,0.035253,0.073684
201712,0.020169,0.033297,0.075378
201801,0.02521,0.041533,0.0854
201802,0.029281,0.0449,0.082847
201803,0.025983,0.039928,0.076346
201804,0.022318,0.035968,0.069066
201805,0.029027,0.04238,0.075828
201806,0.023599,0.035096,0.064162
201807,0.021827,0.034649,0.065375
201808,0.022844,0.033956,0.06366
201809,0.020177,0.031751,0.063093
201810,0.026147,0.041342,0.078825
201811,0.023911,0.03547,0.064632
201812,0.027865,0.041085,0.076132
201901,0.022308,0.034875,0.064531
201902,0.021635,0.033089,0.061038
201903,0.02681,0.038468,0.068607
201904,0.024356,0.0353,0.057604
201905,0.035711,0.051464,0.083842
201906,0.030773,0.044089,0.071586
201907,0.026396,0.038296,0.068278
201908,0.033565,0.050663,0.1021
201909,0.033344,0.05024,0.095259
201910,0.02868,0.043113,0.079015
201911,0.025638,0.040051,0.074343
201912,0.024003,0.039388,0.07578
202001,0.031122,0.048857,0.092699
202002,0.049556,0.072443,0.13789
202003,0.031159,0.062706,0.14048
202004,0.020565,0.040998,0.1022
202005,0.019467,0.037598,0.095083
202006,0.016943,0.036291,0.092665
202007,0.013645,0.030524,0.085327
202008,0.012667,0.029848,0.087577
202009,0.012821,0.031455,0.090949
202010,0.018897,0.046518,0.12054
202011,0.011776,0.030686,0.080984
202012,0.013952,0.035035,0.088082
202101,0.013748,0.03416,0.083533
202102,0.033216,0.058012,0.10676
202103,0.029685,0.053747,0.10147
202104,0.024472,0.043706,0.086959
202105,0.021507,0.039098,0.078132
202106,0.023438,0.0411,0.083462
202107,0.024335,0.043845,0.095091
202108,0.024317,0.042685,0.084585
202109,0.02474,0.043524,0.088867
202110,0.033534,0.047208,0.090875
202111,0.035307,0.051436,0.10032
202112,0.031939,0.047592,0.090671
202201,0.0351,0.050314,0.097491
202202,0.0453,0.065814,0.11633
202203,0.051111,0.070904,0.12175
202204,0.057425,0.082392,0.14326
202205,0.047646,0.070448,0.12708
202206,0.058582,0.081001,0.13701
202207,0.054538,0.074838,0.12352
202208,0.057797,0.080007,0.12606
202209,0.067152,0.099282,0.16362
202210,0.065709,0.09432,0.16331
202211,0.056906,0.079485,0.13801
202212,0.053877,0.076437,0.13965
202301,0.047204,0.065914,0.11686
202302,0.056519,0.078909,0.13746
202303,0.065508,0.084016,0.13483
202304,0.060667,0.077189,0.11933
202305,0.06499,0.081932,0.12168
202306,0.053053,0.06726,0.10638
202307,0.052515,0.069471,0.11282
202308,0.049456,0.068754,0.12069
202309,0.048863,0.074649,0.1489
202310,0.05279,0.080502,0.16917
202311,0.05239,0.074431,0.13106
202312,0.054307,0.074192,0.13233
