Time,ATM_IV_10_40D
201011,0.080267
201012,0.083696
201101,0.080036
201102,0.073656
201103,0.069085
201104,0.05673
201105,0.058295
201106,0.072897
201107,0.061514
201108,0.062447
201109,0.069051
201110,0.080082
201111,0.075556
201112,0.056341
201201,0.051462
201202,0.054145
201203,0.056109
201204,0.047031
201205,0.05648
201206,0.048413
201207,0.048274
201208,0.04732
201209,0.043043
201210,0.050982
201211,0.037953
201212,0.043612
201301,0.047954
201302,0.042282
201303,0.039377
201304,0.036302
201305,0.057117
201306,0.068489
201307,0.046356
201308,0.060224
201309,0.063383
201310,0.049038
201311,0.054034
201312,0.04954
201401,0.05185
201402,0.046969
201403,0.048938
201404,0.047294
201405,0.049219
201406,0.041863
201407,0.044919
201408,0.046962
201409,0.046473
201410,0.049389
201411,0.047824
201412,0.049028
201501,0.060924
201502,0.059583
201503,0.05632
201504,0.050783
201505,0.055719
201506,0.063766
201507,0.04424
201508,0.04749
201509,0.052394
201510,0.050037
201511,0.048283
201512,0.046511
201601,0.052989
201602,0.05375
201603,0.046327
201604,0.048873
201605,0.049005
201606,0.050447
201607,0.046594
201608,0.047588
201609,0.042634
201610,0.04659
201611,0.062815
201612,0.05037
201701,0.054216
201702,0.051125
201703,0.04342
201704,0.043924
201705,0.042524
201706,0.042523
201707,0.033482
201708,0.033701
201709,0.038985
201710,0.038866
201711,0.035253
201712,0.033297
201801,0.041533
201802,0.0449
201803,0.039928
201804,0.035968
201805,0.04238
201806,0.035096
201807,0.034649
201808,0.033956
201809,0.031751
201810,0.041342
201811,0.03547
201812,0.041085
201901,0.034875
201902,0.033089
201903,0.038468
201904,0.0353
201905,0.051464
201906,0.044089
201907,0.038296
201908,0.050663
201909,0.05024
201910,0.043113
201911,0.040051
201912,0.039388
202001,0.048857
202002,0.072443
202003,0.062706
202004,0.040998
202005,0.037598
202006,0.036291
202007,0.030524
202008,0.029848
202009,0.031455
202010,0.046518
202011,0.030686
202012,0.035035
202101,0.03416
202102,0.058012
202103,0.053747
202104,0.043706
202105,0.039098
202106,0.0411
202107,0.043845
202108,0.042685
202109,0.043524
202110,0.047208
202111,0.051436
202112,0.047592
202201,0.050314
202202,0.065814
202203,0.070904
202204,0.082392
202205,0.070448
202206,0.081001
202207,0.074838
202208,0.080007
202209,0.099282
202210,0.09432
202211,0.079485
202212,0.076437
