TradeDate,ATM_IV_5_40D,ATM_IV_10_40D,ATM_IV_30_40D
19830309,        ,        ,        
19830310,        ,        ,        
19830311,        ,        ,        
19830314,        ,        ,        
19830315,        ,        ,        
19830316,        ,        ,        
19830317,        ,        ,        
19830318,        ,        ,        
19830321,        ,        ,        
19830322,        ,        ,        
19830323,        ,        ,        
19830324,        ,        ,        
19830325,        ,        ,        
19830328,        ,        ,        
19830329,        ,        ,        
19830330,        ,        ,        
19830331,        ,        ,        
19830404,        ,        ,        
19830405,        ,        ,        
19830406,        ,        ,        
19830407,        ,        ,        
19830408,        ,        ,        
19830411,        ,        ,0.096954
19830412,        ,        ,0.098771
19830413,        ,        ,0.10002 
19830414,        ,        ,0.1059  
19830415,        ,        ,0.10508 
19830418,        ,        ,0.10422 
19830419,        ,        ,0.096227
19830420,        ,        ,0.095841
19830421,        ,        ,0.096693
19830422,        ,        ,0.096972
19830425,        ,        ,0.095036
19830426,        ,        ,0.097031
19830427,        ,        ,0.099062
19830428,        ,        ,0.095843
19830429,        ,        ,0.10098 
19830502,        ,        ,0.09755 
19830503,        ,        ,0.096274
19830504,        ,        ,0.10384 
19830505,        ,        ,0.096836
19830506,        ,        ,0.10296 
19830509,        ,        ,0.10251 
19830510,        ,        ,0.10007 
19830511,        ,        ,0.10132 
19830512,        ,        ,0.09417 
19830513,        ,        ,0.096788
19830516,        ,        ,        
19830517,        ,        ,        
19830518,        ,        ,        
19830519,        ,        ,        
19830520,        ,        ,        
19830523,        ,        ,        
19830524,        ,        ,        
19830525,        ,        ,        
19830526,        ,        ,        
19830527,        ,        ,        
19830531,        ,        ,        
19830601,        ,        ,        
19830602,        ,        ,        
19830603,        ,        ,        
19830606,        ,        ,        
19830607,        ,        ,        
19830608,        ,        ,        
19830609,        ,        ,        
19830610,        ,        ,        
19830613,        ,        ,        
19830614,        ,        ,        
19830615,        ,        ,        
19830616,        ,        ,        
19830617,        ,        ,        
19830620,        ,        ,        
19830621,        ,        ,        
19830622,        ,        ,        
19830623,        ,        ,        
19830624,        ,        ,        
19830627,        ,        ,        
19830628,        ,        ,        
19830629,        ,        ,        
19830630,        ,        ,        
19830701,        ,        ,        
19830705,        ,        ,        
19830706,        ,        ,        
19830707,        ,        ,        
19830708,        ,        ,        
19830711,        ,        ,        
19830712,        ,        ,        
19830713,        ,        ,        
19830714,        ,        ,        
19830715,        ,        ,        
19830718,        ,        ,0.12052 
19830719,        ,        ,0.11505 
19830720,        ,        ,0.11349 
19830721,        ,        ,0.11    
19830722,        ,        ,0.12045 
19830725,        ,        ,0.11686 
19830726,        ,        ,0.11648 
19830727,        ,        ,0.11739 
19830728,        ,        ,0.10829 
19830729,        ,        ,0.10945 
19830801,        ,        ,0.12532 
19830802,        ,        ,0.12486 
19830803,        ,        ,0.12735 
19830804,        ,        ,0.1303  
19830805,        ,        ,0.1339  
19830808,        ,        ,0.13412 
19830809,        ,        ,0.12695 
19830810,        ,        ,0.13408 
19830811,        ,        ,0.1235  
19830812,        ,        ,0.11674 
19830815,        ,        ,0.12102 
19830816,        ,        ,0.10835 
19830817,        ,        ,0.099496
19830818,        ,        ,0.085207
19830819,        ,        ,0.11849 
19830822,        ,        ,        
19830823,        ,        ,        
19830824,        ,        ,        
19830825,        ,        ,        
19830826,        ,        ,        
19830829,        ,        ,        
19830830,        ,        ,        
19830831,        ,        ,        
19830901,        ,        ,        
19830902,        ,        ,        
19830906,        ,        ,        
19830907,        ,        ,        
19830908,        ,        ,        
19830909,        ,        ,        
19830912,        ,        ,        
19830913,        ,        ,        
19830914,        ,        ,        
19830915,        ,        ,        
19830916,        ,        ,        
19830919,        ,        ,        
19830920,        ,        ,        
19830921,        ,        ,        
19830922,        ,        ,        
19830923,        ,        ,        
19830926,        ,        ,        
19830927,        ,        ,        
19830928,        ,        ,        
19830929,        ,        ,        
19830930,        ,        ,        
19831003,        ,        ,        
19831004,        ,        ,        
19831005,        ,        ,        
19831006,        ,        ,        
19831007,        ,        ,        
19831010,        ,        ,        
19831011,        ,        ,        
19831012,        ,        ,        
19831013,        ,        ,        
19831014,        ,        ,        
19831017,        ,        ,0.11032 
19831018,        ,        ,0.10914 
19831019,        ,        ,0.10654 
19831020,        ,        ,0.10095 
19831021,        ,        ,0.10644 
19831024,        ,        ,0.11231 
19831025,        ,        ,0.11165 
19831026,        ,        ,0.11426 
19831027,        ,        ,0.10507 
19831028,        ,        ,0.10982 
19831031,        ,        ,0.10856 
19831101,        ,        ,0.10987 
19831102,        ,        ,0.10304 
19831103,        ,        ,0.1045  
19831104,        ,        ,0.10573 
19831107,        ,        ,0.089821
19831108,        ,        ,0.08895 
19831109,        ,        ,0.090568
19831110,        ,        ,0.088691
19831111,        ,        ,0.093067
19831114,        ,        ,0.096193
19831115,        ,        ,0.09323 
19831116,        ,        ,0.089374
19831117,        ,        ,0.079555
19831118,        ,        ,0.089256
19831121,        ,        ,        
19831122,        ,        ,        
19831123,        ,        ,        
19831125,        ,        ,        
19831128,        ,        ,        
19831129,        ,        ,        
19831130,        ,        ,        
19831201,        ,        ,        
19831202,        ,        ,        
19831205,        ,        ,        
19831206,        ,        ,        
19831207,        ,        ,        
19831208,        ,        ,        
19831209,        ,        ,        
19831212,        ,        ,        
19831213,        ,        ,        
19831214,        ,        ,        
19831215,        ,        ,        
19831216,        ,        ,        
19831219,        ,        ,        
19831220,        ,        ,        
19831221,        ,        ,        
19831222,        ,        ,        
19831223,        ,        ,        
19831227,        ,        ,        
19831228,        ,        ,        
19831229,        ,        ,        
19831230,        ,        ,        
19840103,        ,        ,        
19840104,        ,        ,        
19840105,        ,        ,        
19840106,        ,        ,        
19840109,        ,        ,        
19840110,        ,        ,        
19840111,        ,        ,        
19840112,        ,        ,        
19840113,        ,        ,        
19840116,        ,        ,0.070843
19840117,        ,        ,0.068203
19840118,        ,        ,0.072751
19840119,        ,        ,0.075071
19840120,        ,        ,0.072294
19840123,        ,        ,0.072873
19840124,        ,        ,0.068261
19840125,        ,        ,0.070195
19840126,        ,        ,0.069705
19840127,        ,        ,0.069911
19840130,        ,        ,0.069259
19840131,        ,        ,0.072135
19840201,        ,        ,0.072635
19840202,        ,        ,0.0629  
19840203,        ,        ,0.066977
19840206,        ,        ,0.064522
19840207,        ,        ,0.069042
19840208,        ,        ,0.06907 
19840209,        ,        ,0.0641  
19840210,        ,        ,0.064215
19840213,        ,        ,0.059069
19840214,        ,        ,0.060686
19840215,        ,        ,0.051065
19840216,        ,        ,0.053702
19840217,        ,        ,0.14263 
19840221,        ,        ,        
19840222,        ,        ,        
19840223,        ,        ,        
19840224,        ,        ,        
19840227,        ,        ,        
19840228,        ,        ,        
19840229,        ,        ,        
19840301,        ,        ,        
19840302,        ,        ,        
19840305,        ,        ,        
19840306,        ,        ,        
19840307,        ,        ,        
19840308,        ,        ,        
19840309,        ,        ,        
19840312,        ,        ,        
19840313,        ,        ,        
19840314,        ,        ,        
19840315,        ,        ,        
19840316,        ,        ,        
19840319,        ,        ,        
19840320,        ,        ,        
19840321,        ,        ,        
19840322,        ,        ,        
19840323,        ,        ,        
19840326,        ,        ,        
19840327,        ,        ,        
19840328,        ,        ,        
19840329,        ,        ,        
19840330,        ,        ,        
19840402,        ,        ,        
19840403,        ,        ,        
19840404,        ,        ,        
19840405,        ,        ,        
19840406,        ,        ,        
19840409,        ,        ,        
19840410,        ,        ,        
19840411,        ,        ,        
19840412,        ,        ,        
19840413,        ,        ,        
19840416,        ,        ,0.072876
19840417,        ,        ,0.074361
19840418,        ,        ,0.074312
19840419,        ,        ,0.076949
19840423,        ,        ,0.080818
19840424,        ,        ,0.084675
19840425,        ,        ,0.085532
19840426,        ,        ,0.080786
19840427,        ,        ,0.080143
19840430,        ,        ,0.081011
19840501,        ,        ,0.083405
19840502,        ,        ,0.088133
19840503,        ,        ,0.09094 
19840504,        ,        ,0.086025
19840507,        ,        ,0.086412
19840508,        ,        ,0.092192
19840509,        ,        ,0.096239
19840510,        ,        ,0.10004 
19840511,        ,        ,0.12455 
19840514,        ,        ,0.13268 
19840515,        ,        ,0.11999 
19840516,        ,        ,0.10865 
19840517,        ,        ,0.090202
19840518,        ,        ,0.077536
19840521,        ,        ,        
19840522,        ,        ,        
19840523,        ,        ,        
19840524,        ,        ,        
19840525,        ,        ,        
19840529,        ,        ,        
19840530,        ,        ,        
19840531,        ,        ,        
19840601,        ,        ,        
19840604,        ,        ,        
19840605,        ,        ,        
19840606,        ,        ,        
19840607,        ,        ,        
19840608,        ,        ,        
19840611,        ,        ,        
19840612,        ,        ,        
19840613,        ,        ,        
19840614,        ,        ,        
19840615,        ,        ,        
19840618,        ,        ,        
19840619,        ,        ,        
19840620,        ,        ,        
19840621,        ,        ,        
19840622,        ,        ,        
19840625,        ,        ,        
19840626,        ,        ,        
19840627,        ,        ,        
19840628,        ,        ,        
19840629,        ,        ,        
19840702,        ,        ,        
19840703,        ,        ,        
19840705,        ,        ,        
19840706,        ,        ,        
19840709,        ,        ,        
19840710,        ,        ,        
19840711,        ,        ,        
19840712,        ,        ,        
19840713,        ,        ,        
19840716,        ,        ,0.12814 
19840717,        ,        ,0.12367 
19840718,        ,        ,0.12274 
19840719,        ,        ,0.12562 
19840720,        ,        ,0.12738 
19840723,        ,        ,0.13218 
19840724,        ,        ,0.11729 
19840725,        ,        ,0.12422 
19840726,        ,        ,0.12522 
19840727,        ,        ,0.11622 
19840730,        ,        ,0.11877 
19840731,        ,        ,0.12456 
19840801,        ,        ,0.12921 
19840802,        ,        ,0.12755 
19840803,        ,        ,0.13245 
19840806,        ,        ,0.14109 
19840807,        ,        ,0.1383  
19840808,        ,        ,0.1478  
19840809,        ,        ,0.14608 
19840810,        ,        ,0.12581 
19840813,        ,        ,0.13279 
19840814,        ,        ,0.125   
19840815,        ,        ,0.12804 
19840816,        ,        ,0.13402 
19840817,        ,        ,0.13055 
19840820,        ,        ,        
19840821,        ,        ,        
19840822,        ,        ,        
19840823,        ,        ,        
19840824,        ,        ,        
19840827,        ,        ,        
19840828,        ,        ,        
19840829,        ,        ,        
19840830,        ,        ,        
19840831,        ,        ,        
19840904,        ,        ,        
19840905,        ,        ,        
19840906,        ,        ,        
19840907,        ,        ,        
19840910,        ,        ,        
19840911,        ,        ,        
19840912,        ,        ,        
19840913,        ,        ,        
19840914,        ,        ,        
19840917,        ,        ,        
19840918,        ,        ,        
19840919,        ,        ,        
19840920,        ,        ,        
19840921,        ,        ,        
19840924,        ,        ,        
19840925,        ,        ,        
19840926,        ,        ,        
19840927,        ,        ,        
19840928,        ,        ,        
19841001,        ,        ,        
19841002,        ,        ,        
19841003,        ,        ,        
19841004,        ,        ,        
19841005,        ,        ,        
19841008,        ,        ,        
19841009,        ,        ,        
19841010,        ,        ,        
19841011,        ,        ,        
19841012,        ,        ,        
19841015,        ,        ,0.12074 
19841016,        ,        ,0.11697 
19841017,        ,        ,0.11268 
19841018,        ,        ,0.11137 
19841019,        ,        ,0.11974 
19841022,        ,        ,0.11918 
19841023,        ,        ,0.12887 
19841024,        ,        ,0.12375 
19841025,        ,        ,0.13047 
19841026,        ,        ,0.12695 
19841029,        ,        ,0.12193 
19841030,        ,        ,0.12582 
19841031,        ,        ,0.12622 
19841101,        ,        ,0.12286 
19841102,        ,        ,0.12025 
19841105,        ,        ,0.12625 
19841106,        ,        ,0.12725 
19841107,        ,        ,0.12742 
19841108,        ,        ,0.12682 
19841109,        ,        ,0.12184 
19841112,        ,        ,0.12427 
19841113,        ,        ,0.1211  
19841114,        ,        ,0.12071 
19841115,        ,        ,0.12959 
19841116,        ,        ,0.11987 
19841119,        ,        ,        
19841120,        ,        ,        
19841121,        ,        ,        
19841123,        ,        ,        
19841126,        ,        ,        
19841127,        ,        ,        
19841128,        ,        ,        
19841129,        ,        ,        
19841130,        ,        ,        
19841203,        ,        ,        
19841204,        ,        ,        
19841205,        ,        ,        
19841206,        ,        ,        
19841207,        ,        ,        
19841210,        ,        ,        
19841211,        ,        ,        
19841212,        ,        ,        
19841213,        ,        ,        
19841214,        ,        ,        
19841217,        ,        ,        
19841218,        ,        ,        
19841219,        ,        ,        
19841220,        ,        ,        
19841221,        ,        ,        
19841224,        ,        ,        
19841226,        ,        ,        
19841227,        ,        ,        
19841228,        ,        ,        
19841231,        ,        ,        
19850102,        ,        ,        
19850103,        ,        ,        
19850104,        ,        ,        
19850107,        ,        ,        
19850108,        ,        ,        
19850109,        ,        ,        
19850110,        ,        ,        
19850111,        ,        ,        
19850114,        ,        ,0.11181 
19850115,        ,        ,0.11047 
19850116,        ,        ,0.10976 
19850117,        ,        ,0.10586 
19850118,        ,        ,0.10396 
19850121,        ,        ,0.1046  
19850122,        ,        ,0.097588
19850123,        ,        ,0.097844
19850124,        ,        ,0.1038  
19850125,        ,        ,0.10398 
19850128,        ,        ,0.10559 
19850129,        ,        ,0.10247 
19850130,        ,        ,0.10036 
19850131,        ,        ,0.10325 
19850201,        ,        ,0.10067 
19850204,        ,        ,0.099732
19850205,        ,        ,0.098752
19850206,        ,        ,0.1001  
19850207,        ,        ,0.10343 
19850208,        ,        ,0.088658
19850211,        ,        ,0.086584
19850212,        ,        ,0.087073
19850213,        ,        ,0.08801 
19850214,        ,        ,0.091875
19850215,        ,        ,0.093193
19850219,        ,        ,        
19850220,        ,        ,        
19850221,        ,        ,        
19850222,        ,        ,        
19850225,        ,        ,        
19850226,        ,        ,        
19850227,        ,        ,        
19850228,        ,        ,        
19850301,        ,        ,        
19850304,        ,        ,        
19850305,        ,        ,        
19850306,        ,        ,        
19850307,        ,        ,        
19850308,        ,        ,        
19850311,        ,        ,        
19850312,        ,        ,        
19850313,        ,        ,        
19850314,        ,        ,        
19850315,        ,        ,        
19850318,        ,        ,        
19850319,        ,        ,        
19850320,        ,        ,        
19850321,        ,        ,        
19850322,        ,        ,        
19850325,        ,        ,        
19850326,        ,        ,        
19850327,        ,        ,        
19850328,        ,        ,        
19850329,        ,        ,        
19850401,        ,        ,        
19850402,        ,        ,        
19850403,        ,        ,        
19850404,        ,        ,        
19850408,        ,        ,        
19850409,        ,        ,        
19850410,        ,        ,        
19850411,        ,        ,        
19850412,        ,        ,        
19850415,        ,        ,0.092888
19850416,        ,        ,0.089508
19850417,        ,        ,0.093007
19850418,        ,        ,0.085935
19850419,        ,        ,0.087623
19850422,        ,        ,0.087986
19850423,        ,        ,0.09392 
19850424,        ,        ,0.093998
19850425,        ,        ,0.097088
19850426,        ,        ,0.094191
19850429,        ,        ,0.098135
19850430,        ,        ,0.099023
19850501,        ,0.069945,0.096812
19850502,        ,0.068815,0.096761
19850503,        ,0.065219,0.087355
19850506,        ,0.064605,0.087911
19850507,        ,0.064142,0.091067
19850508,        ,0.06916 ,0.0934  
19850509,        ,0.062124,0.089159
19850510,        ,0.067208,0.083522
19850513,        ,0.068533,0.088323
19850514,        ,0.073365,0.093582
19850515,        ,0.067185,0.085771
19850516,        ,0.070177,0.080347
19850517,        ,0.15457 ,0.055944
19850520,        ,        ,        
19850521,        ,        ,        
19850522,        ,        ,        
19850523,        ,        ,        
19850524,        ,        ,        
19850528,        ,        ,        
19850529,        ,        ,        
19850530,        ,        ,        
19850531,        ,        ,        
19850603,        ,        ,        
19850604,        ,        ,        
19850605,        ,        ,        
19850606,        ,        ,        
19850607,        ,        ,        
19850610,        ,        ,        
19850611,        ,        ,        
19850612,        ,        ,        
19850613,        ,        ,        
19850614,        ,        ,        
19850617,        ,        ,        
19850618,        ,        ,        
19850619,        ,        ,        
19850620,        ,        ,        
19850621,        ,        ,        
19850624,        ,        ,        
19850625,        ,        ,        
19850626,        ,        ,        
19850627,        ,        ,        
19850628,        ,        ,        
19850701,        ,        ,        
19850702,        ,        ,        
19850703,        ,        ,        
19850705,        ,        ,        
19850708,        ,        ,        
19850709,        ,        ,        
19850710,        ,        ,        
19850711,        ,        ,        
19850712,        ,        ,        
19850715,        ,0.10209 ,0.1285  
19850716,        ,0.098815,0.12641 
19850717,        ,0.097969,0.12697 
19850718,        ,0.096919,0.11881 
19850719,        ,0.096222,0.11476 
19850722,        ,0.09725 ,0.11811 
19850723,        ,0.094773,0.11116 
19850724,        ,0.096222,0.11505 
19850725,        ,0.093171,0.11368 
19850726,        ,0.089958,0.11156 
19850729,        ,0.094451,0.11825 
19850730,        ,0.093018,0.12405 
19850731,        ,0.094462,0.12571 
19850801,        ,0.096153,0.12014 
19850802,        ,0.093208,0.11798 
19850805,        ,0.090525,0.12428 
19850806,        ,0.096342,0.12207 
19850807,        ,0.091866,0.11805 
19850808,        ,0.095999,0.11959 
19850809,        ,0.094206,0.12031 
19850812,        ,0.092084,0.11674 
19850813,        ,0.095364,0.11794 
19850814,        ,0.088742,0.11163 
19850815,        ,0.092763,0.11224 
19850816,        ,0.085102,0.12014 
19850819,        ,        ,        
19850820,        ,        ,        
19850821,        ,        ,        
19850822,        ,        ,        
19850823,        ,        ,        
19850826,        ,        ,        
19850827,        ,        ,        
19850828,        ,        ,        
19850829,        ,        ,        
19850830,        ,        ,        
19850903,        ,        ,        
19850904,        ,        ,        
19850905,        ,        ,        
19850906,        ,        ,        
19850909,        ,        ,        
19850910,        ,        ,        
19850911,        ,        ,        
19850912,        ,        ,        
19850913,        ,        ,        
19850916,        ,        ,        
19850917,        ,        ,        
19850918,        ,        ,        
19850919,        ,        ,        
19850920,        ,        ,        
19850923,        ,        ,        
19850924,        ,        ,        
19850925,        ,        ,        
19850926,        ,        ,        
19850927,        ,        ,        
19850930,        ,        ,        
19851001,        ,        ,        
19851002,        ,        ,        
19851003,        ,        ,        
19851004,        ,        ,        
19851007,        ,        ,        
19851008,        ,        ,        
19851009,        ,        ,        
19851010,        ,        ,        
19851011,        ,        ,        
19851014,        ,0.078401,0.099048
19851015,        ,0.072404,0.099132
19851016,        ,0.072087,0.09656 
19851017,        ,0.069878,0.093326
19851018,        ,0.067703,0.090329
19851021,        ,0.069974,0.092267
19851022,        ,0.071352,0.096877
19851023,        ,0.07146 ,0.09622 
19851024,        ,0.071245,0.095157
19851025,        ,0.068633,0.094788
19851028,        ,0.070746,0.098059
19851029,        ,0.069465,0.098324
19851030,        ,0.07503 ,0.10721 
19851031,        ,0.076891,0.10507 
19851101,        ,0.073328,0.09723 
19851104,        ,0.071863,0.098683
19851105,        ,0.067881,0.095367
19851106,        ,0.065762,0.089927
19851107,        ,0.060489,0.091248
19851108,        ,0.041929,0.086127
19851111,        ,0.066598,0.092722
19851112,        ,0.064845,0.089793
19851113,        ,0.069549,0.082567
19851114,        ,0.064206,0.067852
19851115,        ,        ,        
19851118,        ,        ,        
19851119,        ,        ,        
19851120,        ,        ,        
19851121,        ,        ,        
19851122,        ,        ,        
19851125,        ,        ,        
19851126,        ,        ,        
19851127,        ,        ,        
19851129,        ,        ,        
19851202,        ,        ,        
19851203,        ,        ,        
19851204,        ,        ,        
19851205,        ,        ,        
19851206,        ,        ,        
19851209,        ,        ,        
19851210,        ,        ,        
19851211,        ,        ,        
19851212,        ,        ,        
19851213,        ,        ,        
19851216,        ,        ,        
19851217,        ,        ,        
19851218,        ,        ,        
19851219,        ,        ,        
19851220,        ,        ,        
19851223,        ,        ,        
19851224,        ,        ,        
19851226,        ,        ,        
19851227,        ,        ,        
19851230,        ,        ,        
19851231,        ,        ,        
19860102,        ,        ,        
19860103,        ,        ,        
19860106,        ,        ,        
19860107,        ,        ,        
19860108,        ,        ,        
19860109,        ,        ,        
19860110,        ,        ,        
19860113,        ,0.080282,0.12229 
19860114,        ,0.083981,0.1174  
19860115,        ,0.082923,0.11259 
19860116,        ,0.080978,0.11298 
19860117,        ,0.082407,0.1151  
19860120,        ,0.081115,0.11482 
19860121,        ,0.079922,0.1156  
19860122,        ,0.076002,0.11173 
19860123,        ,0.075314,0.10943 
19860124,        ,0.070754,0.10477 
19860127,        ,0.068371,0.10506 
19860128,        ,0.071627,0.10855 
19860129,        ,0.076059,0.11095 
19860130,        ,0.077553,0.11044 
19860131,        ,0.074176,0.10721 
19860203,        ,0.074375,0.11004 
19860204,        ,0.074261,0.11105 
19860205,        ,0.081113,0.11072 
19860206,        ,0.079818,0.1215  
19860207,        ,0.078986,0.11402 
19860210,        ,0.076909,0.11028 
19860211,        ,0.073848,0.10384 
19860212,        ,0.072169,0.10382 
19860213,        ,0.070675,0.1002  
19860214,        ,0.081202,0.11897 
19860218,        ,        ,        
19860219,        ,        ,        
19860220,        ,        ,        
19860221,        ,        ,        
19860224,        ,        ,        
19860225,        ,        ,        
19860226,        ,        ,        
19860227,        ,        ,        
19860228,        ,        ,        
19860303,        ,        ,        
19860304,        ,        ,        
19860305,        ,        ,        
19860306,        ,        ,        
19860307,        ,        ,        
19860310,        ,        ,        
19860311,        ,        ,        
19860312,        ,        ,        
19860313,        ,        ,        
19860314,        ,        ,        
19860317,        ,        ,        
19860318,        ,        ,        
19860319,        ,        ,        
19860320,        ,        ,        
19860321,        ,        ,        
19860324,        ,        ,        
19860325,        ,        ,        
19860326,        ,        ,        
19860327,        ,        ,        
19860331,        ,        ,        
19860401,        ,        ,        
19860402,        ,        ,        
19860403,        ,        ,        
19860404,        ,        ,        
19860407,        ,        ,        
19860408,        ,        ,        
19860409,        ,        ,        
19860410,        ,        ,        
19860411,        ,        ,        
19860414,        ,0.085548,0.14245 
19860415,        ,0.085043,0.14336 
19860416,        ,0.092539,0.16552 
19860417,        ,0.08876 ,0.14824 
19860418,        ,0.08671 ,0.14589 
19860421,        ,0.082154,0.14361 
19860422,        ,0.085797,0.13139 
19860423,        ,0.088183,0.15752 
19860424,        ,0.093326,0.1609  
19860425,        ,0.092219,0.15459 
19860428,        ,0.096291,0.16697 
19860429,        ,0.094381,0.15198 
19860430,        ,0.089348,0.14963 
19860501,        ,0.087055,0.15004 
19860502,        ,0.087113,0.14534 
19860505,        ,0.083402,0.14837 
19860506,        ,0.082374,0.14706 
19860507,        ,0.08461 ,0.14724 
19860508,        ,0.084228,0.14939 
19860509,        ,0.084142,0.13848 
19860512,        ,0.093523,0.15579 
19860513,        ,0.083639,0.14832 
19860514,        ,0.081569,0.12727 
19860515,        ,0.075278,0.13479 
19860516,        ,        ,        
19860519,        ,        ,        
19860520,        ,        ,        
19860521,        ,        ,        
19860522,        ,        ,        
19860523,        ,        ,        
19860527,        ,        ,        
19860528,        ,        ,        
19860529,        ,        ,        
19860530,        ,        ,        
19860602,        ,        ,        
19860603,        ,        ,        
19860604,        ,        ,        
19860605,        ,        ,        
19860606,        ,        ,        
19860609,        ,        ,        
19860610,        ,        ,        
19860611,        ,        ,        
19860612,        ,        ,        
19860613,        ,        ,        
19860616,        ,        ,        
19860617,        ,        ,        
19860618,        ,        ,        
19860619,        ,        ,        
19860620,        ,        ,        
19860623,        ,        ,        
19860624,        ,        ,        
19860625,        ,        ,        
19860626,        ,        ,        
19860627,        ,        ,        
19860630,        ,        ,        
19860701,        ,        ,        
19860702,        ,        ,        
19860703,        ,        ,        
19860707,        ,        ,        
19860708,        ,        ,        
19860709,        ,        ,        
19860710,        ,        ,        
19860711,        ,        ,        
19860714,        ,0.086167,0.14918 
19860715,        ,0.083237,0.14393 
19860716,        ,0.084506,0.14452 
19860717,        ,0.089053,0.15137 
19860718,        ,0.085733,0.14489 
19860721,        ,0.085528,0.15325 
19860722,        ,0.085307,0.15394 
19860723,        ,0.084162,0.15663 
19860724,        ,0.091125,0.16284 
19860725,        ,0.092037,0.15796 
19860728,        ,0.094939,0.16647 
19860729,        ,0.10262 ,0.17454 
19860730,        ,0.10484 ,0.17818 
19860731,        ,0.1048  ,0.1793  
19860801,        ,0.099363,0.16838 
19860804,        ,0.097466,0.1577  
19860805,        ,0.090145,0.15853 
19860806,        ,0.090069,0.15972 
19860807,        ,0.086828,0.15739 
19860808,        ,0.075047,0.14979 
19860811,        ,0.080968,0.14574 
19860812,        ,0.078636,0.15071 
19860813,        ,0.078096,0.1469  
19860814,        ,0.076481,0.15005 
19860815,        ,0.081333,0.14271 
19860818,        ,        ,        
19860819,        ,        ,        
19860820,        ,        ,        
19860821,        ,        ,        
19860822,        ,        ,        
19860825,        ,        ,        
19860826,        ,        ,        
19860827,        ,        ,        
19860828,        ,        ,        
19860829,        ,        ,        
19860902,        ,        ,        
19860903,        ,        ,        
19860904,        ,        ,        
19860905,        ,        ,        
19860908,        ,        ,        
19860909,        ,        ,        
19860910,        ,        ,        
19860911,        ,        ,        
19860912,        ,        ,        
19860915,        ,        ,        
19860916,        ,        ,        
19860917,        ,        ,        
19860918,        ,        ,        
19860919,        ,        ,        
19860922,        ,        ,        
19860923,        ,        ,        
19860924,        ,        ,        
19860925,        ,        ,        
19860926,        ,        ,        
19860929,        ,        ,        
19860930,        ,        ,        
19861001,        ,        ,        
19861002,        ,        ,        
